title,description,label
Try Not To Laugh - Funny Memes Compilation,memes and funny videos,addictive
Top 10 Gaming Fails,gaming compilation,addictive
Endless TikTok memes,"funny, addictive short videos",addictive
Ultimate meme battle,non-stop memes,addictive
Java Tutorial for Beginners - 10 minutes,learn java basics,educational
What is Machine Learning?,simple explanation for beginners,educational
Python If Else Tutorial,learn python basics,educational
Study With Me - Pomodoro,study together,productive
Guided Meditation 10 minutes,relaxation,productive
Morning routine for focus,improve productivity,productive
Unboxing new phone,review,neutral
Top 5 tech gadgets,neutral tech info,neutral
Room tour setup video,overview of workspace,neutral
